Des Moines,-1.039136,-2.550919,C1,,-5.280578,27.8845040141,28.8818061761,5.3741795817,110.4726999766
Sheldon,-7.584345,6.666667,C2,,-0.99865017,0.997302162,,0.048647128,
Le Mars,-8.54251,4.435696,C3,,,,,,
spirit Lake,-5.384615,7.979002,C4,,,,,,
Esther ville,-4.642375,7.821522,C5,,,,,,
Spencer,-5.546559,6.299212,C6,,,-2.3934387,-0.0483620671,,
Emmetsburg,-4.604863,6.074499,C7,,,,,,
Cherokee,-6.761134,4.120735,C8,,,0.713649,0.0475766,,
Sioux City,-9.317769,2.970646,C9,,,,,,
Storm Lake,-5.775979,3.51706,C10,,,,,,
Fort Dodge,-2.739541,2.598425,C11,,,,,,
Webster City,-1.673414,2.414698,C12,,,,,,
Denison,-6.194332,-0.1312336,C13,,,,,,
Carroll,-4.790823,0.1312336,C14,,,,,,
Boone,-1.848853,0.1049869,C15,,,,,,
Ames,-1.066127,-0.1574803,C16,,,,,,
Ankeny,-1.039136,-1.83727,C17,,,,,,
Urbandale,-1.363023,-2.309711,C18,,,,,,
West Des Moines,-1.336032,-2.808399,C19,,,,,,
Indianola,-0.8636977,-4.015748,C20,,,,,,
Council Bluffs,-7.833279,-4.388189,C21,,,,,,
Atlantic,-5.236167,-3.727034,C22,,,,,,
Red Oak,-5.910931,-6.036746,C23,,,,,,
Shenandoah,-6.34278,-7.427822,C24,,,,,,
Clarinda,-5.34413,-7.506562,C25,,,,,,
Creston,-3.265857,-5.774278,C26,,,,,,
Osceola,-1.497976,-5.826772,C27,,,,,,
Mason City,0.1214575,6.4042,C28,,,,,,
Charles City,1.68691,5.931758,C29,,,,,,
Waverly,2.280702,3.937008,C30,,,,,,
Iowa Falls,-0.04048583,2.729659,C31,,,,,,
Cedar Falls,2.361673,2.808399,C32,,,,,,
Water Loo,2.68556,2.493438,C33,,,,,,
Marshalltown,1.039136,0.02624672,C34,,,,,,
Newton,0.5802969,-2.047244,C35,,,,,,
Grinnell,1.551957,-1.75853,C36,,,,,,
Knoxville,0.4858299,-4.146982,C37,,,,,,
Chariton,-0.1214575,-6.089239,C38,,,,,,
Centerville,1.20108,-7.585302,C39,,,,,,
Ottumwa,2.604589,-5.958005,C40,,,,,,
Oskaloosa,1.821862,-4.383202,C41,,,,,,
Fairfield,3.91363,-6.010499,C42,,,,,,
Washington,4.696356,-4.278215,C43,,,,,,
Mount Pleasant,5.1417,-6.220472,C44,,,,,,
Burlington,6.477733,-7.007874,C45,,,,,,
Fort Madison,5.910931,-8.083989,C46,,,,,,
Keokuk,5.708502,-9.370079,C47,,,,,,
Iowa City,5.155196,-2.152231,C48,,,,,,
Muscatine,6.585695,-3.490814,C49,,,,,,
Davenport,7.975708,-2.703412,C50,,,,,,
Bettendorf,8.191633,-2.703412,C51,,,,,,
Clinton,9.05533,-0.9186352,C52,,,,,,
Maquoketa,7.678813,0.2624672,C53,,,,,,
Cedar Rapids,4.709852,-0.2624672,C54,,,,,,
Marion,4.898786,0.05249344,C55,,,,,,
Dubuque,7.584345,2.913386,C56,,,,,,
Decorah,4.251012,7.322834,C57,,,,,,
